Country,Product,ISO Week Start Date,Gross_Profit,Monthly_Overhead,Cumulative_Gross_Profit,Cumulative_Overhead
Canada,Product A,2013-12-30 00:00:00.000000,24923.96614623403,6160.574474789452,24923.96614623403,12321.148949578905
Canada,Product A,2014-01-06 00:00:00.000000,24528.794406623383,6284.259680942065,49452.76055285741,24889.668311463036
Canada,Product A,2014-01-13 00:00:00.000000,38367.70107619172,9549.035132770856,87820.46162904912,43987.73857700475
Canada,Product A,2014-01-20 00:00:00.000000,28351.57262185657,7340.9521336956395,116172.0342509057,58669.642844396025
Canada,Product A,2014-01-27 00:00:00.000000,21689.303675896852,7478.579702272414,137861.33792680255,73626.80224894085
Canada,Product A,2014-02-03 00:00:00.000000,33375.13396640331,10311.06708275411,171236.47189320586,94248.93641444907
Canada,Product A,2014-02-10 00:00:00.000000,41079.12035787905,9188.559766124248,212315.59225108492,112626.05594669757
Canada,Product A,2014-02-17 00:00:00.000000,41207.70480166047,9802.925473773568,253523.2970527454,132231.9068942447
Canada,Product A,2014-02-24 00:00:00.000000,35173.809630699296,8612.395717972977,288697.1066834447,149456.69833019064
Canada,Product A,2014-03-03 00:00:00.000000,26206.581041497724,8597.2264971023,314903.6877249424,166651.15132439524
Canada,Product A,2014-03-10 00:00:00.000000,16901.135327872937,11262.406326578348,331804.82305281534,189175.96397755193
Canada,Product A,2014-03-17 00:00:00.000000,25700.124808562017,12472.095057427056,357504.9478613774,214120.15409240607
Canada,Product A,2014-03-24 00:00:00.000000,28882.270661552284,11072.598743146938,386387.21852292964,236265.35157869992
Canada,Product A,2014-03-31 00:00:00.000000,40859.133794672496,11344.58131339864,427246.35231760214,258954.5142054972
Canada,Product A,2014-04-07 00:00:00.000000,53554.289709301316,13306.023526664536,480800.64202690346,285566.5612588263
Canada,Product A,2014-04-14 00:00:00.000000,19934.093229959355,10613.876807166242,500734.7352568628,306794.3148731588
Canada,Product A,2014-04-21 00:00:00.000000,12023.313347645948,11182.450035904074,512758.04860450875,329159.21494496695
Canada,Product A,2014-04-28 00:00:00.000000,45201.69450106809,11356.819104953345,557959.7431055768,351872.8531548736
Canada,Product A,2014-05-05 00:00:00.000000,40150.66277783051,7704.673515958388,598110.4058834073,367282.2001867903
Canada,Product A,2014-05-12 00:00:00.000000,26762.648434947805,8129.774292510681,624873.0543183552,383541.7487718117
Canada,Product A,2014-05-19 00:00:00.000000,25612.128988702258,9067.309727535185,650485.1833070575,401676.36822688207
Canada,Product A,2014-05-26 00:00:00.000000,20996.20604038582,8591.148784464158,671481.3893474434,418858.6657958104
Canada,Product A,2014-06-02 00:00:00.000000,61096.960169130354,10479.210746959496,732578.3495165737,439817.0872897294
Canada,Product A,2014-06-09 00:00:00.000000,28178.320301469896,7587.716549142121,760756.6698180436,454992.5203880137
Canada,Product A,2014-06-16 00:00:00.000000,46282.11080525849,9534.371074758985,807038.7806233021,474061.2625375317
Canada,Product A,2014-06-23 00:00:00.000000,25776.205490830776,7331.2335180798655,832814.9861141329,488723.7295736914
Canada,Product A,2014-06-30 00:00:00.000000,21025.800374489598,6586.059433398334,853840.7864886225,501895.8484404881
Canada,Product A,2014-07-07 00:00:00.000000,14481.99209903019,7199.342484071258,868322.7785876527,516294.53340863064
Canada,Product A,2014-07-14 00:00:00.000000,22997.796318753448,7059.452288645193,891320.5749064062,530413.437985921
Canada,Product A,2014-07-21 00:00:00.000000,15286.3105803324,5959.038734169227,906606.8854867386,542331.5154542595
Canada,Product A,2014-07-28 00:00:00.000000,32097.75481269338,4853.610770300639,938704.640299432,552038.7369948607
Canada,Product A,2014-08-04 00:00:00.000000,10247.710796536376,3619.5096757984847,948952.3510959684,559277.7563464576
Canada,Product A,2014-08-11 00:00:00.000000,13857.836977206636,4974.62676024429,962810.188073175,569227.0098669461
Canada,Product A,2014-08-18 00:00:00.000000,8255.598128598656,3656.105684110242,971065.7862017737,576539.2212351665
Canada,Product A,2014-08-25 00:00:00.000000,24644.62915974002,7844.086859297818,995710.4153615137,592227.3949537622
Canada,Product A,2014-09-01 00:00:00.000000,24395.733707691135,3995.456361108,1020106.1490692049,600218.3076759782
Canada,Product A,2014-09-08 00:00:00.000000,13854.990212294786,3079.1884757426014,1033961.1392814997,606376.6846274633
Canada,Product A,2014-09-15 00:00:00.000000,25686.559514768698,6772.506108163997,1059647.6987962683,619921.6968437913
Canada,Product A,2014-09-22 00:00:00.000000,9791.858831393023,3124.9066047269043,1069439.5576276614,626171.5100532451
Canada,Product A,2014-09-29 00:00:00.000000,10772.309925937152,6272.820631454047,1080211.8675535985,638717.1513161531
Canada,Product A,2014-10-06 00:00:00.000000,22812.865000097896,3531.3487554277917,1103024.7325536963,645779.8488270086
Canada,Product A,2014-10-13 00:00:00.000000,14243.28089949179,2009.9370609119387,1117268.0134531881,649799.7229488324
Canada,Product A,2014-10-20 00:00:00.000000,25049.926588126807,7322.9392866583,1142317.9400413148,664445.601522149
Canada,Product A,2014-10-27 00:00:00.000000,16824.50465527155,4783.146988961783,1159142.4446965863,674011.8955000725
Canada,Product A,2014-11-03 00:00:00.000000,34310.93130777759,5126.669005434227,1193453.3760043639,684265.233510941
Canada,Product A,2014-11-10 00:00:00.000000,37788.99704615452,6744.200234464026,1231242.3730505183,697753.6339798691
Canada,Product A,2014-11-17 00:00:00.000000,28197.28044112597,6164.100912341453,1259439.6534916442,710081.8358045521
Canada,Product A,2014-11-24 00:00:00.000000,8725.566685989208,5194.310074906619,1268165.2201776335,720470.4559543652
Canada,Product A,2014-12-01 00:00:00.000000,23060.991754771458,2609.971536877224,1291226.211932405,725690.3990281196
Canada,Product A,2014-12-08 00:00:00.000000,21112.46001247283,8130.384543905955,1312338.6719448778,741951.1681159316
Canada,Product A,2014-12-15 00:00:00.000000,22401.578134373958,4426.158656930827,1334740.2500792518,750803.4854297931
Canada,Product A,2014-12-22 00:00:00.000000,11797.61853106274,5737.907616946289,1346537.8686103146,762279.3006636857
Canada,Product A,2014-12-29 00:00:00.000000,20390.95666468519,8787.797752925993,1366928.8252749997,779854.8961695377
Canada,Product A,2015-01-05 00:00:00.000000,17054.442155284356,8894.325306971145,1383983.267430284,797643.5467834799
Canada,Product A,2015-01-12 00:00:00.000000,23767.87671410211,6916.72354650555,1407751.144144386,811476.993876491
Canada,Product A,2015-01-19 00:00:00.000000,30863.15922696265,8382.939981601796,1438614.3033713487,828242.8738396945
Canada,Product A,2015-01-26 00:00:00.000000,22094.74314783993,9306.943426102367,1460709.0465191887,846856.7606918993
Canada,Product A,2015-02-02 00:00:00.000000,14712.86537731858,8023.0636315030115,1475421.9118965073,862902.8879549054
Canada,Product A,2015-02-09 00:00:00.000000,49162.52737764262,11824.290045684862,1524584.43927415,886551.4680462752
Canada,Product A,2015-02-16 00:00:00.000000,60820.72148202764,11441.821447867258,1585405.1607561775,909435.1109420096
Canada,Product A,2015-02-23 00:00:00.000000,22610.34450655141,9700.196573399024,1608015.505262729,928835.5040888076
Canada,Product A,2015-03-02 00:00:00.000000,41121.53082559972,6948.734762004878,1649137.0360883288,942732.9736128175
Canada,Product A,2015-03-09 00:00:00.000000,25576.713048631114,9495.306277671287,1674713.74913696,961723.58616816
Canada,Product A,2015-03-16 00:00:00.000000,19186.575104843854,8946.861777435217,1693900.3242418037,979617.3097230303
Canada,Product A,2015-03-23 00:00:00.000000,30773.49437134697,14153.919661444686,1724673.8186131506,1007925.1490459198
